Prefix:  ctg(ln(x+5))
Postfix: x 5 + ln ctg 
x=-9.448777, y=0.000000
x=-9.447777, y=0.000000
x=-9.446776, y=0.000000
x=-9.445776, y=0.000000
x=-9.444776, y=0.000000
x=-9.443775, y=0.000000
x=-9.442775, y=0.000000
x=-9.441774, y=0.000000
x=-9.440774, y=0.000000
x=-9.439774, y=0.000000
x=-9.438773, y=0.000000
x=-9.437773, y=0.000000
x=-9.436772, y=0.000000
x=-9.435772, y=0.000000
x=-9.434772, y=0.000000
x=-9.433771, y=0.000000
x=-9.432771, y=0.000000
x=-9.431770, y=0.000000
x=-9.430770, y=0.000000
x=-9.429770, y=0.000000
x=-9.428769, y=0.000000
x=-9.427769, y=0.000000
x=-9.426768, y=0.000000
x=-9.425768, y=0.000000
x=-9.424767, y=0.000000
x=-9.423767, y=0.000000
x=-9.422767, y=0.000000
x=-9.421766, y=0.000000
x=-9.420766, y=0.000000
x=-9.419765, y=0.000000
x=-9.418765, y=0.000000
x=-9.417765, y=0.000000
x=-9.416764, y=0.000000
x=-9.415764, y=0.000000
x=-9.414763, y=0.000000
x=-9.413763, y=0.000000
x=-9.412763, y=0.000000
x=-9.411762, y=0.000000
x=-9.410762, y=0.000000
x=-9.409761, y=0.000000
x=-9.408761, y=0.000000
x=-9.407761, y=0.000000
x=-9.406760, y=0.000000
x=-9.405760, y=0.000000
x=-9.404759, y=0.000000
x=-9.403759, y=0.000000
x=-9.402759, y=0.000000
x=-9.401758, y=0.000000
x=-9.400758, y=0.000000
x=-9.399757, y=0.000000
x=-9.398757, y=0.000000
x=-9.397757, y=0.000000
x=-9.396756, y=0.000000
x=-9.395756, y=0.000000
x=-9.394755, y=0.000000
x=-9.393755, y=0.000000
x=-9.392755, y=0.000000
x=-9.391754, y=0.000000
x=-9.390754, y=0.000000
x=-9.389753, y=0.000000
x=-9.388753, y=0.000000
x=-9.387753, y=0.000000
x=-9.386752, y=0.000000
x=-9.385752, y=0.000000
x=-9.384751, y=0.000000
x=-9.383751, y=0.000000
x=-9.382751, y=0.000000
x=-9.381750, y=0.000000
x=-9.380750, y=0.000000
x=-9.379749, y=0.000000
x=-9.378749, y=0.000000
x=-9.377748, y=0.000000
x=-9.376748, y=0.000000
x=-9.375748, y=0.000000
x=-9.374747, y=0.000000
x=-9.373747, y=0.000000
x=-9.372746, y=0.000000
x=-9.371746, y=0.000000
x=-9.370746, y=0.000000
x=-9.369745, y=0.000000
x=-9.368745, y=0.000000
x=-9.367744, y=0.000000
x=-9.366744, y=0.000000
x=-9.365744, y=0.000000
x=-9.364743, y=0.000000
x=-9.363743, y=0.000000
x=-9.362742, y=0.000000
x=-9.361742, y=0.000000
x=-9.360742, y=0.000000
x=-9.359741, y=0.000000
x=-9.358741, y=0.000000
x=-9.357740, y=0.000000
x=-9.356740, y=0.000000
x=-9.355740, y=0.000000
x=-9.354739, y=0.000000
x=-9.353739, y=0.000000
x=-9.352738, y=0.000000
x=-9.351738, y=0.000000
x=-9.350738, y=0.000000
x=-9.349737, y=0.000000
x=-9.348737, y=0.000000
x=-9.347736, y=0.000000
x=-9.346736, y=0.000000
x=-9.345736, y=0.000000
x=-9.344735, y=0.000000
x=-9.343735, y=0.000000
x=-9.342734, y=0.000000
x=-9.341734, y=0.000000
x=-9.340734, y=0.000000
x=-9.339733, y=0.000000
x=-9.338733, y=0.000000
x=-9.337732, y=0.000000
x=-9.336732, y=0.000000
x=-9.335732, y=0.000000
x=-9.334731, y=0.000000
x=-9.333731, y=0.000000
x=-9.332730, y=0.000000
x=-9.331730, y=0.000000
x=-9.330729, y=0.000000
x=-9.329729, y=0.000000
x=-9.328729, y=0.000000
x=-9.327728, y=0.000000
x=-9.326728, y=0.000000
x=-9.325727, y=0.000000
x=-9.324727, y=0.000000
x=-9.323727, y=0.000000
x=-9.322726, y=0.000000
x=-9.321726, y=0.000000
x=-9.320725, y=0.000000
x=-9.319725, y=0.000000
x=-9.318725, y=0.000000
x=-9.317724, y=0.000000
x=-9.316724, y=0.000000
x=-9.315723, y=0.000000
x=-9.314723, y=0.000000
x=-9.313723, y=0.000000
x=-9.312722, y=0.000000
x=-9.311722, y=0.000000
x=-9.310721, y=0.000000
x=-9.309721, y=0.000000
x=-9.308721, y=0.000000
x=-9.307720, y=0.000000
x=-9.306720, y=0.000000
x=-9.305719, y=0.000000
x=-9.304719, y=0.000000
x=-9.303719, y=0.000000
x=-9.302718, y=0.000000
