worker	project_id	task_id	resolution_type	start_ts	end_ts
login1	1	task_211	resolution_2	1575900206	1575900329
login1	1	task_212	resolution_1	1575655638	1575657085
login1	1	task_213	resolution_1	1576862469	1576862769
login1	1	task_214	resolution_1	1575744084	1575744952
login1	2	task_215	resolution_1	1576246568	1576248049
login1	1	task_216	resolution_1	1575832909	1575834486
login1	2	task_217	resolution_1	1576245415	1576246142
login1	1	task_218	resolution_1	1575742916	1575743503
login1	1	task_219	resolution_1	1575654812	1575655634
login1	1	task_220	resolution_1	1575742665	1575742872
login1	1	task_221	resolution_1	1575742308	1575742652
login1	1	task_222	resolution_1	1576851297	1576851655
login1	2	task_223	resolution_1	1575741865	1575742118
login1	1	task_224	resolution_1	1576244436	1576244732
login1	2	task_225	resolution_2	1576835764	1576835775
login1	2	task_226	resolution_1	1575900500	1575900738
login1	1	task_227	resolution_1	1576242068	1576244431
login1	1	task_228	resolution_1	1575395153	1575395437
login1	2	task_229	resolution_1	1575736468	1575737087
login1	2	task_230	resolution_1	1575990793	1575991108
login2	1	task_231	resolution_2	1576677472	1576678996
login2	2	task_232	resolution_1	1576500635	1576502279
login2	1	task_233	resolution_1	1576790271	1576791751
login2	1	task_234	resolution_1	1576416412	1576419286
login2	1	task_235	resolution_1	1576679001	1576681349
login2	2	task_236	resolution_1	1576773047	1576776338
login2	1	task_237	resolution_1	1576669409	1576671041
login2	1	task_238	resolution_1	1576604305	1576606706
login2	1	task_239	resolution_1	1576671047	1576675261
login2	1	task_240	resolution_1	1576600564	1576601823
login2	1	task_241	resolution_1	1576664016	1576664568
login2	1	task_242	resolution_1	1576857663	1576860436
login2	1	task_243	resolution_1	1576664572	1576669403
login2	2	task_244	resolution_1	1576606860	1576608557
login2	1	task_245	resolution_1	1576764604	1576768790
login2	2	task_246	resolution_1	1576498138	1576500333
login2	1	task_247	resolution_1	1576503845	1576505219
login2	1	task_248	resolution_1	1576595190	1576599262
login2	1	task_249	resolution_1	1576588544	1576591630
login2	1	task_250	resolution_1	1576592699	1576594992
login2	2	task_251	resolution_1	1576681380	1576687586
login2	2	task_252	resolution_1	1576505321	1576507595
login2	1	task_253	resolution_1	1576675265	1576677303
login2	1	task_254	resolution_1	1576848086	1576850312
login2	1	task_255	resolution_1	1576851014	1576852368
login2	1	task_256	resolution_1	1576509214	1576509914
login2	2	task_257	resolution_1	1576853114	1576856366
login2	2	task_258	resolution_1	1576844649	1576846589
login2	1	task_259	resolution_1	1576502643	1576503759
login2	2	task_260	resolution_1	1576431213	1576434073
login2	1	task_261	resolution_1	1576419290	1576426281
login2	1	task_262	resolution_1	1576760451	1576763282
login2	1	task_263	resolution_1	1576425910	1576430186
login2	2	task_264	resolution_1	1576847777	1576848063
login3	1	task_265	resolution_2	1576607733	1576608343
login3	1	task_266	resolution_1	1576607730	1576608419
login3	1	task_267	resolution_1	1576607736	1576608748
login3	1	task_268	resolution_1	1575396367	1575397768
login3	1	task_269	resolution_1	1575988465	1575988981
login3	2	task_270	resolution_1	1575796771	1575798030
login3	2	task_271	resolution_1	1575796767	1575797399
login3	2	task_272	resolution_1	1575796770	1575797593
login3	1	task_273	resolution_1	1575398333	1575399185
login3	1	task_274	resolution_2	1576498636	1576499157
login3	2	task_275	resolution_1	1575797402	1575798396
login3	1	task_276	resolution_1	1576607724	1576608213
login3	1	task_277	resolution_1	1576605965	1576606454
login3	1	task_278	resolution_1	1575988467	1575989253
login3	1	task_279	resolution_1	1575901908	1575903063
login3	1	task_280	resolution_1	1575901918	1575902154
login3	2	task_281	resolution_1	1575797411	1575798599
login3	1	task_282	resolution_1	1575988462	1575988839
login3	1	task_283	resolution_1	1575396372	1575397975
login3	1	task_284	resolution_1	1575398351	1575398575
login3	1	task_285	resolution_1	1575988988	1575990240
login3	1	task_286	resolution_2	1575901911	1575902110
login3	1	task_287	resolution_1	1575900752	1575901901
login3	1	task_288	resolution_2	1575398325	1575398506
login3	1	task_289	resolution_1	1575988471	1575989521
login3	1	task_290	resolution_1	1575702065	1575703914
login3	1	task_291	resolution_1	1575798612	1575799101
login3	1	task_292	resolution_1	1575987245	1575988459
login3	2	task_293	resolution_1	1575804957	1575806352
login3	1	task_294	resolution_1	1576497352	1576499582
login3	1	task_295	resolution_1	1576498619	1576498801
login3	1	task_296	resolution_1	1576497331	1576498604
login3	1	task_297	resolution_1	1576597676	1576598409
login3	1	task_298	resolution_1	1576597672	1576598133
login3	1	task_299	resolution_1	1576597663	1576597932
login3	1	task_300	resolution_1	1575391518	1575392792
login3	2	task_301	resolution_1	1576595435	1576595857
login3	1	task_302	resolution_1	1576589843	1576590332
login3	2	task_303	resolution_1	1575184109	1575185182
login3	1	task_304	resolution_1	1575996763	1575997152
login3	1	task_305	resolution_1	1575398331	1575400069
login3	1	task_306	resolution_1	1575710454	1575712742
login3	2	task_307	resolution_1	1575715609	1575718135
login3	1	task_308	resolution_1	1576498609	1576501700
login3	1	task_309	resolution_1	1575715645	1575718246
login3	2	task_310	resolution_1	1575712756	1575713216
login3	1	task_311	resolution_1	1575710452	1575712353
login3	1	task_312	resolution_1	1575984771	1575986556
login3	1	task_313	resolution_1	1576503279	1576504206
login3	1	task_314	resolution_1	1576502640	1576504108
login3	1	task_315	resolution_1	1575712364	1575713715
login3	2	task_316	resolution_1	1575713220	1575714758
login3	1	task_317	resolution_1	1575987241	1575987598
login3	2	task_318	resolution_2	1575715601	1575715626
login3	2	task_319	resolution_1	1575793540	1575794587
login3	1	task_320	resolution_2	1575398309	1575398435
login3	1	task_321	resolution_1	1575987244	1575987799
login3	1	task_322	resolution_1	1575392809	1575393730
login3	1	task_323	resolution_1	1575900771	1575901174
login3	1	task_324	resolution_1	1575803435	1575804745
login3	2	task_325	resolution_1	1576585147	1576585558
login3	1	task_326	resolution_1	1576515823	1576516170
login3	1	task_327	resolution_1	1575703923	1575704273
login3	1	task_328	resolution_1	1575790331	1575790891
login3	1	task_329	resolution_1	1575788519	1575788942
login3	1	task_330	resolution_1	1575788943	1575789784
login3	2	task_331	resolution_1	1575788447	1575788750
login3	2	task_332	resolution_1	1576584083	1576584567
login3	1	task_333	resolution_2	1575788443	1575788517
login3	2	task_334	resolution_1	1575788753	1575789141
login3	1	task_335	resolution_1	1575393732	1575395079
login3	1	task_336	resolution_1	1576679581	1576680035
login3	2	task_337	resolution_1	1576585143	1576585420
login3	1	task_338	resolution_1	1575894228	1575898384
login3	1	task_339	resolution_1	1576679483	1576680311
login3	2	task_340	resolution_1	1576586494	1576586922
login3	1	task_341	resolution_2	1575790050	1575790078
login3	1	task_342	resolution_1	1575894225	1575898053
login3	1	task_343	resolution_1	1575894223	1575897765
login3	1	task_344	resolution_1	1576680040	1576680845
login3	1	task_345	resolution_1	1576843831	1576845117
login3	1	task_346	resolution_1	1576587920	1576589838
login3	1	task_347	resolution_1	1576587906	1576589223
login3	1	task_348	resolution_2	1576852210	1576852427
login3	2	task_349	resolution_1	1576586499	1576587074
login3	1	task_350	resolution_1	1576587885	1576588042
login3	1	task_351	resolution_1	1576587898	1576588577
login3	2	task_352	resolution_1	1576671514	1576677196
login3	1	task_353	resolution_1	1576843836	1576845459
